Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;PK;PKatt;Matches
127;Rory Delap;ie IRL;MF;Stoke City;35;1976;16.9;2;;3;;;0.18;;0.67;;0;0;Matches
128;Nathan Delfouneso;eng ENG;FW,MF;Aston Villa;20;1991;1.8;0;;1;;;0.55;;0.00;;0;0;Matches
129;Fabian Delph;eng ENG;DF,MF;Aston Villa;21;1989;9.4;0;;0;;;0.00;;;;0;0;Matches
130;Mousa Dembélé;be BEL;MF;Fulham;24;1987;32.6;2;;23;;;0.71;;0.09;;0;0;Matches
131;Clint Dempsey;us USA;FW,MF;Fulham;28;1983;36.9;17;;57;;;1.54;;0.30;;0;1;Matches
132;Rafael van der Vaart;nl NED;MF;Tottenham;28;1983;25.7;11;;42;;;1.63;;0.24;;1;1;Matches
133;Shaun Derry;eng ENG;MF;QPR;33;1977;24.7;1;;3;;;0.12;;0.33;;0;0;Matches
134;Franco Di Santo;ar ARG;FW;Wigan Athletic;22;1989;22.5;7;;26;;;1.16;;0.27;;0;0;Matches
135;Abou Diaby;fr FRA;MF;Arsenal;25;1986;1.0;0;;1;;;0.96;;0.00;;0;0;Matches
136;Samba Diakité;ml MLI;MF;QPR;22;1989;7.5;1;;2;;;0.27;;0.50;;0;0;Matches
137;Mohamed Diamé;sn SEN;MF;Wigan Athletic;24;1987;17.8;3;;10;;;0.56;;0.30;;0;0;Matches
138;Salif Diao;sn SEN;MF;Stoke City;34;1977;1.3;0;;0;;;0.00;;;;0;0;Matches
139;Mahamadou Diarra;ml MLI;MF;Fulham;30;1981;8.3;1;;2;;;0.24;;0.50;;0;0;Matches
140;Sylvain Distin;fr FRA;DF;Everton;33;1977;24.6;0;;0;;;0.00;;;;0;0;Matches
141;Johan Djourou;ch SUI;DF;Arsenal;24;1987;12.9;0;;1;;;0.08;;0.00;;0;0;Matches
142;Stephen Dobbie;sct SCO;FW;Swansea City;28;1982;2.9;0;;5;;;1.72;;0.00;;0;0;Matches
143;Matt Doherty;ie IRL;DF,MF;Wolves;19;1992;0.5;0;;0;;;0.00;;;;0;0;Matches
144;Ji Dong-won;kr KOR;FW,MF;Sunderland;20;1991;5.0;2;;3;;;0.60;;0.67;;0;0;Matches
145;Doni;br BRA;GK;Liverpool;31;1979;3.3;0;;0;;;0.00;;;;0;0;Matches
146;Landon Donovan;us USA;FW,MF;Everton;29;1982;7.0;0;;2;;;0.29;;0.00;;0;0;Matches
147;Graham Dorrans;sct SCO;FW,MF;West Brom;24;1987;16.9;3;;10;;;0.59;;0.30;;0;0;Matches
148;Giovani dos Santos;mx MEX;FW,MF;Tottenham;22;1989;0.6;0;;1;;;1.55;;0.00;;0;0;Matches
149;Stewart Downing;eng ENG;FW,MF;Liverpool;27;1984;27.5;0;;20;;;0.73;;0.00;;0;1;Matches
150;Kevin Doyle;ie IRL;FW;Wolves;27;1983;26.1;4;;22;;;0.84;;0.18;;0;1;Matches
151;Royston Drenthe;nl NED;DF,MF;Everton;24;1987;11.6;3;;10;;;0.86;;0.30;;0;0;Matches
152;Didier Drogba;ci CIV;FW;Chelsea;33;1978;16.4;5;;18;;;1.09;;0.22;;1;1;Matches
153;Adam Drury;eng ENG;DF;Norwich City;32;1978;10.0;0;;0;;;0.00;;;;0;0;Matches
154;Damien Duff;ie IRL;FW,MF;Fulham;32;1979;23.5;2;;11;;;0.47;;0.18;;0;0;Matches
155;Shane Duffy;ie IRL;DF,MF;Everton;19;1992;2.4;0;;0;;;0.00;;;;0;0;Matches
156;David Dunn;eng ENG;MF;Blackburn;31;1979;17.8;2;;14;;;0.79;;0.14;;0;0;Matches
157;Richard Dunne;ie IRL;DF;Aston Villa;31;1979;28.0;1;;4;;;0.14;;0.25;;0;0;Matches
158;Kieron Dyer;eng ENG;MF;QPR;32;1978;0.1;0;;0;;;0.00;;;;0;0;Matches
159;Nathan Dyer;eng ENG;FW,MF;Swansea City;23;1987;26.2;5;;18;;;0.69;;0.28;;0;0;Matches
160;Edin Džeko;ba BIH;FW;Manchester City;25;1986;16.8;14;;35;;;2.09;;0.40;;0;0;Matches
161;Chris Eagles;eng ENG;MF;Bolton;25;1985;25.4;4;;25;;;0.98;;0.16;;0;0;Matches
162;Sylvan Ebanks-Blake;eng ENG;FW;Wolves;25;1986;11.4;1;;6;;;0.53;;0.17;;0;0;Matches
163;David Edwards;wls WAL;MF;Wolves;25;1986;21.4;3;;8;;;0.37;;0.38;;0;0;Matches
164;Ahmed Elmohamady;eg EGY;DF,MF;Sunderland;23;1987;8.7;1;;3;;;0.34;;0.33;;0;0;Matches
