player,team,season,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,penalties_scored,penalties_attempted
Liam Ridgewell,West Brom,2011-2012,13.0,1,,7.0,,,0.54,,0.14,,0,0
Joe Riley,Bolton,2011-2012,2.2,0,,0.0,,,0.0,,,,0,0
Jason Roberts,Blackburn,2011-2012,5.2,0,,1.0,,,0.19,,0.0,,0,0
Paul Robinson,Bolton,2011-2012,15.8,0,,0.0,,,0.0,,,,0,0
Paul Robinson,Blackburn,2011-2012,34.0,0,,0.0,,,0.0,,,,0,0
Rubén Rochina,Blackburn,2011-2012,9.1,2,,10.0,,,1.1,,0.2,,0,0
Hugo Rodallega,Wigan Athletic,2011-2012,14.0,2,,15.0,,,1.07,,0.13,,0,0
Maxi Rodríguez,Liverpool,2011-2012,8.8,4,,8.0,,,0.91,,0.5,,0,0
Jack Rodwell,Everton,2011-2012,10.3,2,,7.0,,,0.68,,0.29,,0,0
Oriol Romeu,Chelsea,2011-2012,10.6,0,,2.0,,,0.19,,0.0,,0,0
Wayne Rooney,Manchester Utd,2011-2012,31.4,27,,72.0,,,2.29,,0.29,,6,8
Danny Rose,Tottenham,2011-2012,3.6,0,,1.0,,,0.28,,0.0,,0,0
Tomáš Rosický,Arsenal,2011-2012,19.6,1,,10.0,,,0.51,,0.1,,0,0
Wayne Routledge,Swansea City,2011-2012,16.2,1,,3.0,,,0.19,,0.33,,0,0
Declan Rudd,Norwich City,2011-2012,1.1,0,,0.0,,,0.0,,,,0,0
John Ruddy,Norwich City,2011-2012,36.9,0,,0.0,,,0.0,,,,0,0
Bryan Ruiz,Fulham,2011-2012,16.8,2,,11.0,,,0.65,,0.18,,0,0
Orlando Sá,Fulham,2011-2012,3.1,1,,4.0,,,1.28,,0.25,,0,0
Bacary Sagna,Arsenal,2011-2012,18.9,1,,2.0,,,0.11,,0.5,,0,0
Louis Saha,Tottenham,2011-2012,4.4,3,,6.0,,,1.35,,0.5,,0,0
Louis Saha,Everton,2011-2012,14.2,1,,9.0,,,0.63,,0.11,,0,0
Míchel Salgado,Blackburn,2011-2012,7.2,0,,0.0,,,0.0,,,,0,0
Christopher Samba,Blackburn,2011-2012,15.0,2,,10.0,,,0.67,,0.2,,0,0
Conor Sammon,Wigan Athletic,2011-2012,9.4,0,,3.0,,,0.32,,0.0,,0,0
Sandro,Tottenham,2011-2012,15.7,0,,4.0,,,0.26,,0.0,,0,0
Tuncay Şanlı,Bolton,2011-2012,4.4,0,,1.0,,,0.23,,0.0,,0,0
Davide Santon,Newcastle Utd,2011-2012,18.5,0,,1.0,,,0.05,,0.0,,0,0
André Santos,Arsenal,2011-2012,11.3,2,,4.0,,,0.35,,0.5,,0,0
Stefan Savić,Manchester City,2011-2012,6.1,1,,1.0,,,0.16,,1.0,,0,0
Paul Scharner,West Brom,2011-2012,17.8,3,,10.0,,,0.56,,0.3,,0,0
Paul Scholes,Manchester Utd,2011-2012,12.9,4,,7.0,,,0.54,,0.57,,0,0
Mark Schwarzer,Fulham,2011-2012,30.0,0,,0.0,,,0.0,,,,0,0
Philippe Senderos,Fulham,2011-2012,20.3,1,,2.0,,,0.1,,0.5,,0,0
Stéphane Sessègnon,Sunderland,2011-2012,34.7,7,,21.0,,,0.6,,0.33,,0,0
Ryan Shawcross,Stoke City,2011-2012,35.2,2,,4.0,,,0.11,,0.5,,0,0
Jonjo Shelvey,Liverpool,2011-2012,8.1,1,,8.0,,,0.99,,0.13,,0,0
Nicky Shorey,West Brom,2011-2012,22.4,0,,0.0,,,0.0,,,,0,0
Ryan Shotton,Stoke City,2011-2012,15.5,1,,1.0,,,0.06,,1.0,,0,0
Steve Sidwell,Fulham,2011-2012,12.0,1,,3.0,,,0.25,,0.33,,0,0
Gylfi Sigurðsson,Swansea City,2011-2012,16.6,7,,24.0,,,1.45,,0.29,,0,0
David Silva,Manchester City,2011-2012,31.1,6,,33.0,,,1.06,,0.18,,0,0
Danny Simpson,Newcastle Utd,2011-2012,34.6,0,,1.0,,,0.03,,0.0,,0,0
Scott Sinclair,Swansea City,2011-2012,34.7,8,,26.0,,,0.75,,0.15,,4,5
Martin Škrtel,Liverpool,2011-2012,33.3,2,,6.0,,,0.18,,0.33,,0,0
Jordan Slew,Blackburn,2011-2012,0.0,0,,0.0,,,0.0,,,,0,0
Chris Smalling,Manchester Utd,2011-2012,14.4,1,,1.0,,,0.07,,1.0,,0,0
Adam Smith,Tottenham,2011-2012,0.2,0,,0.0,,,0.0,,,,0,0
Alan Smith,Newcastle Utd,2011-2012,0.1,0,,0.0,,,0.0,,,,0,0
Tommy Smith,QPR,2011-2012,6.1,2,,4.0,,,0.65,,0.5,,0,0
Alexandre Song,Arsenal,2011-2012,33.3,1,,5.0,,,0.15,,0.2,,0,0
Marvin Sordell,Bolton,2011-2012,0.5,0,,0.0,,,0.0,,,,0,0
Jay Spearing,Liverpool,2011-2012,14.4,0,,2.0,,,0.14,,0.0,,0,0
Sébastien Squillaci,Arsenal,2011-2012,0.1,0,,0.0,,,0.0,,,,0,0
Ronnie Stam,Wigan Athletic,2011-2012,13.6,0,,1.0,,,0.07,,0.0,,0,0
Richard Stearman,Wolves,2011-2012,26.7,0,,0.0,,,0.0,,,,0,0
Grétar Steinsson,Bolton,2011-2012,20.9,1,,4.0,,,0.19,,0.25,,0,0
Raheem Sterling,Liverpool,2011-2012,0.3,0,,0.0,,,0.0,,,,0,0
David Stockdale,Fulham,2011-2012,8.0,0,,0.0,,,0.0,,,,0,0
Denis Stracqualursi,Everton,2011-2012,8.1,1,,8.0,,,0.98,,0.13,,0,0
Daniel Sturridge,Chelsea,2011-2012,25.0,11,,32.0,,,1.28,,0.34,,0,0
Luis Suárez,Liverpool,2011-2012,28.3,11,,42.0,,,1.49,,0.26,,0,1
Andrew Surman,Norwich City,2011-2012,21.3,4,,10.0,,,0.47,,0.4,,0,0
Wojciech Szczęsny,Arsenal,2011-2012,38.0,0,,0.0,,,0.0,,,,0,0
Thomas Sørensen,Stoke City,2011-2012,15.8,0,,0.0,,,0.0,,,,0,0
Adel Taarabt,QPR,2011-2012,22.3,2,,31.0,,,1.39,,0.06,,0,0
Taye Taiwo,QPR,2011-2012,13.3,1,,4.0,,,0.3,,0.25,,0,0
Gabriel Tamaș,West Brom,2011-2012,7.4,0,,1.0,,,0.14,,0.0,,0,0
Alan Tate,Swansea City,2011-2012,1.8,0,,0.0,,,0.0,,,,0,0
Neil Taylor,Swansea City,2011-2012,34.2,0,,1.0,,,0.03,,0.0,,0,0
Ryan Taylor,Newcastle Utd,2011-2012,23.6,2,,5.0,,,0.21,,0.4,,0,0
Steven Taylor,Newcastle Utd,2011-2012,14.0,0,,1.0,,,0.07,,0.0,,0,0
Somen Tchoyi,West Brom,2011-2012,7.3,1,,5.0,,,0.69,,0.2,,0,0
John Terry,Chelsea,2011-2012,31.0,6,,13.0,,,0.42,,0.46,,0,0
Carlos Tevez,Manchester City,2011-2012,6.7,4,,16.0,,,2.4,,0.25,,0,1
Jerome Thomas,West Brom,2011-2012,22.0,1,,10.0,,,0.45,,0.1,,0,0
George Thorne,West Brom,2011-2012,1.2,0,,0.0,,,0.0,,,,0,0
Marc Tierney,Norwich City,2011-2012,17.0,0,,1.0,,,0.06,,0.0,,0,0
Cheick Tioté,Newcastle Utd,2011-2012,22.6,0,,7.0,,,0.31,,0.0,,0,0
Fernando Torres,Chelsea,2011-2012,21.3,6,,23.0,,,1.08,,0.26,,0,0
Kolo Touré,Manchester City,2011-2012,9.5,0,,2.0,,,0.21,,0.0,,0,0
Yaya Touré,Manchester City,2011-2012,29.4,6,,16.0,,,0.54,,0.38,,0,0
Armand Traoré,Arsenal,2011-2012,1.0,0,,0.0,,,0.0,,,,0,0
Armand Traoré,QPR,2011-2012,17.9,0,,3.0,,,0.17,,0.0,,0,0
Gerhard Tremmel,Swansea City,2011-2012,1.0,0,,0.0,,,0.0,,,,0,0
Marcello Trotta,Fulham,2011-2012,0.0,0,,1.0,,,30.0,,0.0,,0,0
Ross Turnbull,Chelsea,2011-2012,2.0,0,,0.0,,,0.0,,,,0,0
Michael Turner,Sunderland,2011-2012,23.5,0,,2.0,,,0.09,,0.0,,0,0
Matt Upson,Stoke City,2011-2012,11.4,1,,2.0,,,0.18,,0.5,,0,0
Antonio Valencia,Manchester Utd,2011-2012,23.6,4,,9.0,,,0.38,,0.44,,0,0
David Vaughan,Sunderland,2011-2012,16.5,2,,6.0,,,0.36,,0.33,,0,0
James Vaughan,Norwich City,2011-2012,1.7,0,,0.0,,,0.0,,,,0,0
Josh Vela,Bolton,2011-2012,0.4,0,,0.0,,,0.0,,,,0,0
Apostolos Vellios,Everton,2011-2012,2.9,3,,7.0,,,2.42,,0.43,,0,0
Thomas Vermaelen,Arsenal,2011-2012,27.5,6,,12.0,,,0.44,,0.5,,0,0
