player,team,season,matches_played,starts,minutes,minutes_90s,goals,assists,goals_assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_assists_non_penalty_per_90
George Thorne,West Brom,2011-2012,3,1,104.0,1.2,0,0,0,0,0,0,0,0,0.0
Marc Tierney,Norwich City,2011-2012,17,17,,17.0,0,1,1,0,0,0,2,0,0.06
Cheick Tioté,Newcastle Utd,2011-2012,24,24,,22.6,0,1,1,0,0,0,11,0,0.04
Fernando Torres,Chelsea,2011-2012,32,20,,21.3,6,4,10,6,0,0,4,1,0.47
Kolo Touré,Manchester City,2011-2012,14,8,853.0,9.5,0,0,0,0,0,0,0,0,0.0
Yaya Touré,Manchester City,2011-2012,32,31,,29.4,6,6,12,6,0,0,8,0,0.41
Armand Traoré,Arsenal,2011-2012,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0
Armand Traoré,QPR,2011-2012,23,18,,17.9,0,3,3,0,0,0,3,1,0.17
Gerhard Tremmel,Swansea City,2011-2012,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0
Marcello Trotta,Fulham,2011-2012,1,0,3.0,0.0,0,0,0,0,0,0,0,0,0.0
Ross Turnbull,Chelsea,2011-2012,2,2,180.0,2.0,0,0,0,0,0,0,0,0,0.0
Michael Turner,Sunderland,2011-2012,24,23,,23.5,0,0,0,0,0,0,3,0,0.0
Matt Upson,Stoke City,2011-2012,14,10,,11.4,1,0,1,1,0,0,1,0,0.09
Antonio Valencia,Manchester Utd,2011-2012,27,22,,23.6,4,13,17,4,0,0,3,0,0.72
David Vaughan,Sunderland,2011-2012,22,17,,16.5,2,1,3,2,0,0,3,0,0.18
James Vaughan,Norwich City,2011-2012,5,1,151.0,1.7,0,0,0,0,0,0,1,0,0.0
Josh Vela,Bolton,2011-2012,3,0,40.0,0.4,0,0,0,0,0,0,1,0,0.0
Apostolos Vellios,Everton,2011-2012,13,2,260.0,2.9,3,0,3,3,0,0,1,0,1.04
Thomas Vermaelen,Arsenal,2011-2012,29,28,,27.5,6,1,7,6,0,0,8,0,0.25
Nemanja Vidić,Manchester Utd,2011-2012,6,6,501.0,5.6,0,0,0,0,0,0,0,0,0.0
Sam Vokes,Wolves,2011-2012,4,0,65.0,0.7,0,0,0,0,0,0,1,0,0.0
Michel Vorm,Swansea City,2011-2012,37,37,,37.0,0,0,0,0,0,0,2,0,0.0
Dorus de Vries,Wolves,2011-2012,4,4,320.0,3.6,0,0,0,0,0,0,0,0,0.0
Haris Vučkić,Newcastle Utd,2011-2012,4,2,170.0,1.9,0,0,0,0,0,0,0,0,0.0
Simon Vukčević,Blackburn,2011-2012,7,4,377.0,4.2,1,1,2,1,0,0,0,0,0.48
Theo Walcott,Arsenal,2011-2012,35,32,,30.3,8,8,16,8,0,0,1,0,0.53
Kyle Walker,Tottenham,2011-2012,37,37,,35.9,2,1,3,2,0,0,4,0,0.08
Jonathan Walters,Stoke City,2011-2012,38,38,,37.0,7,5,12,3,4,6,3,0,0.22
Elliott Ward,Norwich City,2011-2012,12,12,,12.0,0,1,1,0,0,0,2,0,0.08
Stephen Ward,Wolves,2011-2012,38,38,,38.0,3,1,4,3,0,0,2,0,0.11
Stephen Warnock,Aston Villa,2011-2012,35,34,,33.9,2,2,4,2,0,0,6,0,0.12
Ben Watson,Wigan Athletic,2011-2012,21,14,,14.0,3,1,4,1,2,4,1,0,0.14
Andreas Weimann,Aston Villa,2011-2012,14,5,541.0,6.0,2,0,2,2,0,0,0,0,0.33
Danny Welbeck,Manchester Utd,2011-2012,30,23,,22.4,9,4,13,9,0,0,3,0,0.58
Keiren Westwood,Sunderland,2011-2012,9,8,759.0,8.4,0,0,0,0,0,0,0,0,0.0
David Wheater,Bolton,2011-2012,24,24,,22.3,2,2,4,2,0,0,1,2,0.18
Glenn Whelan,Stoke City,2011-2012,30,27,,27.6,1,1,2,1,0,0,4,0,0.07
Zak Whitbread,Norwich City,2011-2012,18,18,,15.9,0,1,1,0,0,0,4,0,0.06
Dean Whitehead,Stoke City,2011-2012,33,24,,26.3,0,2,2,0,0,0,5,0,0.08
Connor Wickham,Sunderland,2011-2012,16,5,532.0,5.9,1,0,1,1,0,0,0,0,0.17
Aaron Wilbraham,Norwich City,2011-2012,11,2,314.0,3.5,1,1,2,1,0,0,1,0,0.57
Andy Wilkinson,Stoke City,2011-2012,25,20,,19.0,0,0,0,0,0,0,5,0,0.0
Ashley Williams,Swansea City,2011-2012,37,37,,37.0,1,1,2,1,0,0,6,0,0.05
Mike Williamson,Newcastle Utd,2011-2012,22,21,,21.1,0,1,1,0,0,0,4,0,0.05
Marc Wilson,Stoke City,2011-2012,35,35,,32.2,0,1,1,0,0,0,8,0,0.03
Jonathan Woodgate,Stoke City,2011-2012,17,16,,14.1,0,0,0,0,0,0,3,0,0.0
Shaun Wright-Phillips,QPR,2011-2012,32,24,,24.6,0,3,3,0,0,0,3,0,0.12
Nico Yennaris,Arsenal,2011-2012,1,0,45.0,0.5,0,0,0,0,0,0,0,0,0.0
Ashley Young,Manchester Utd,2011-2012,25,19,,17.4,6,7,13,6,0,0,3,0,0.75
Luke Young,Aston Villa,2011-2012,2,2,145.0,1.6,0,0,0,0,0,0,0,0,0.0
Luke Young,QPR,2011-2012,23,23,,22.6,2,1,3,2,0,0,5,0,0.13
Pablo Zabaleta,Manchester City,2011-2012,21,18,,17.2,1,0,1,1,0,0,5,0,0.06
Bobby Zamora,QPR,2011-2012,14,14,,13.1,2,0,2,2,0,0,2,0,0.15
Bobby Zamora,Fulham,2011-2012,15,14,,13.1,5,5,10,4,1,1,2,0,0.69
Ronald Zubar,Wolves,2011-2012,15,14,,12.9,1,0,1,1,0,0,6,1,0.08
