player,team,season,matches_played,starts,minutes,minutes_90s,goals,assists,goals_assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_assists_non_penalty_per_90
Declan Rudd,Norwich City,2011-2012,2,1,100.0,1.1,0,0,0,0,0,0,0,0,0.0
John Ruddy,Norwich City,2011-2012,37,37,,36.9,0,0,0,0,0,0,1,1,0.0
Bryan Ruiz,Fulham,2011-2012,27,17,,16.8,2,3,5,2,0,0,0,0,0.3
Orlando Sá,Fulham,2011-2012,7,3,282.0,3.1,1,0,1,1,0,0,0,0,0.32
Bacary Sagna,Arsenal,2011-2012,21,20,,18.9,1,2,3,1,0,0,2,0,0.16
Louis Saha,Tottenham,2011-2012,10,5,400.0,4.4,3,1,4,3,0,0,0,0,0.9
Louis Saha,Everton,2011-2012,18,15,,14.2,1,0,1,1,0,0,0,0,0.07
Míchel Salgado,Blackburn,2011-2012,9,9,652.0,7.2,0,0,0,0,0,0,4,0,0.0
Christopher Samba,Blackburn,2011-2012,16,16,,15.0,2,2,4,2,0,0,2,0,0.27
Conor Sammon,Wigan Athletic,2011-2012,25,8,848.0,9.4,0,0,0,0,0,0,1,1,0.0
Sandro,Tottenham,2011-2012,23,17,,15.7,0,0,0,0,0,0,6,0,0.0
Tuncay Şanlı,Bolton,2011-2012,16,3,395.0,4.4,0,0,0,0,0,0,0,0,0.0
Davide Santon,Newcastle Utd,2011-2012,24,19,,18.5,0,1,1,0,0,0,1,0,0.05
André Santos,Arsenal,2011-2012,15,10,,11.3,2,0,2,2,0,0,2,0,0.18
Stefan Savić,Manchester City,2011-2012,11,5,550.0,6.1,1,0,1,1,0,0,1,0,0.16
Paul Scharner,West Brom,2011-2012,29,18,,17.8,3,2,5,3,0,0,6,0,0.28
Paul Scholes,Manchester Utd,2011-2012,17,14,,12.9,4,0,4,4,0,0,3,0,0.31
Mark Schwarzer,Fulham,2011-2012,30,30,,30.0,0,0,0,0,0,0,1,0,0.0
Philippe Senderos,Fulham,2011-2012,21,21,,20.3,1,1,2,1,0,0,5,0,0.1
Stéphane Sessègnon,Sunderland,2011-2012,36,36,,34.7,7,9,16,7,0,0,3,1,0.46
Ryan Shawcross,Stoke City,2011-2012,36,36,,35.2,2,2,4,2,0,0,8,0,0.11
Jonjo Shelvey,Liverpool,2011-2012,13,8,730.0,8.1,1,0,1,1,0,0,2,0,0.12
Nicky Shorey,West Brom,2011-2012,25,22,,22.4,0,1,1,0,0,0,1,0,0.04
Ryan Shotton,Stoke City,2011-2012,23,14,,15.5,1,1,2,1,0,0,2,0,0.13
Steve Sidwell,Fulham,2011-2012,14,12,,12.0,1,1,2,1,0,0,4,0,0.17
Gylfi Sigurðsson,Swansea City,2011-2012,18,17,,16.6,7,3,10,7,0,0,0,0,0.6
David Silva,Manchester City,2011-2012,36,33,,31.1,6,15,21,6,0,0,0,0,0.68
Danny Simpson,Newcastle Utd,2011-2012,35,35,,34.6,0,0,0,0,0,0,7,0,0.0
Scott Sinclair,Swansea City,2011-2012,38,35,,34.7,8,4,12,4,4,5,1,0,0.23
Martin Škrtel,Liverpool,2011-2012,34,33,,33.3,2,1,3,2,0,0,4,1,0.09
Jordan Slew,Blackburn,2011-2012,1,0,2.0,0.0,0,0,0,0,0,0,0,0,0.0
Chris Smalling,Manchester Utd,2011-2012,19,14,,14.4,1,0,1,1,0,0,1,0,0.07
Adam Smith,Tottenham,2011-2012,1,0,15.0,0.2,0,0,0,0,0,0,0,0,0.0
